경우의 수,게임 기록,총보상,결과
1,일반 공격(성공: 1.00) / 일반 공격(성공: 15.50),16.5,승리
2,일반 공격(성공: 3.00) / 일반 공격(성공: 13.50),16.5,승리
3,일반 공격(성공: 1.49) / 일반 공격(성공: 3.00) / 일반 공격(성공: 11.50),15.99,승리
4,일반 공격(성공: 1.00) / 일반 공격(성공: 3.00) / 일반 공격(성공: 11.50),15.5,승리
5,일반 공격(성공: 1.06) / 틈새 공격(성공: -1.50) / 일반 공격(성공: 12.50),12.06,승리
6,틈새 공격(성공: 0.45) / 일반 공격(성공: -1.00) / 일반 공격(성공: 12.50),11.95,승리
7,틈새 공격(성공: 0.41) / 일반 공격(성공: 3.00) / 일반 공격(성공: 8.50),11.91,승리
8,틈새 공격(성공: 0.38) / 일반 공격(성공: 3.00) / 일반 공격(성공: 8.50),11.88,승리
9,틈새 공격(성공: 0.37) / 일반 공격(성공: 5.00) / 일반 공격(성공: 6.50),11.87,승리
10,일반 공격(성공: 1.44) / 일반 공격(성공: -1.00) / 일반 공격(성공: 10.50),10.94,승리
11,일반 공격(성공: 1.40) / 일반 공격(성공: 3.00) / 일반 공격(성공: 6.50),10.9,승리
12,일반 공격(성공: 1.39) / 일반 공격(성공: -1.00) / 일반 공격(성공: 10.50),10.89,승리
13,일반 공격(성공: 1.32) / 일반 공격(성공: 3.00) / 일반 공격(성공: 6.50),10.82,승리
14,일반 공격(성공: 1.30) / 일반 공격(성공: 3.00) / 일반 공격(성공: 6.50),10.8,승리
15,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 10.50),10.5,승리
16,일반 공격(성공: 1.00) / 일반 공격(성공: 3.00) / 일반 공격(성공: 6.50),10.5,승리
17,틈새 공격(성공: 0.37) / 일반 공격(성공: 1.33) / 일반 공격(성공: 5.50),7.2,승리
18,틈새 공격(성공: 0.50) / 일반 공격(성공: -1.00) / 일반 공격(성공: 7.50),7.0,승리
19,틈새 공격(성공: 0.38) / 일반 공격(성공: -1.00) / 일반 공격(성공: 7.50),6.88,승리
20,일반 공격(실패: -2.00) / 일반 공격(성공: 5.00) / 일반 공격(성공: 3.50),6.5,승리
21,일반 공격(성공: 1.39) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.61) / 일반 공격(성공: 7.50),6.28,승리
22,틈새 공격(성공: 0.38) / 일반 공격(성공: -0.61) / 일반 공격(성공: -1.00) / 일반 공격(성공: 7.50),6.27,승리
23,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.50) / 일반 공격(성공: -1.00) / 일반 공격(성공: 7.50),6.0,승리
24,틈새 공격(성공: 0.46) / 일반 공격(성공: -1.00) / 일반 공격(성공: 1.00) / 일반 공격(성공: 5.50),5.96,승리
25,일반 공격(성공: 1.45) / 일반 공격(성공: 1.00) / 일반 공격(성공: 3.50),5.95,승리
26,틈새 공격(성공: 0.45) / 일반 공격(성공: 3.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 3.50),5.95,승리
27,일반 공격(성공: 1.45) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),5.95,승리
28,틈새 공격(성공: 0.44) / 일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),5.94,승리
29,틈새 공격(성공: 0.44) / 일반 공격(성공: -1.00) / 일반 공격(성공: 3.00) / 일반 공격(성공: 3.50),5.94,승리
30,틈새 공격(성공: 0.39) / 일반 공격(성공: 3.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 3.50),5.89,승리
31,틈새 공격(성공: 0.39) / 일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),5.89,승리
32,일반 공격(성공: 1.39) / 일반 공격(성공: 1.00) / 일반 공격(성공: 3.50),5.89,승리
33,틈새 공격(성공: 0.38) / 일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),5.88,승리
34,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.62) / 일반 공격(성공: 7.50),5.88,승리
35,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.65) / 일반 공격(성공: 7.50),5.85,승리
36,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.66) / 일반 공격(성공: -1.00) / 일반 공격(성공: 7.50),5.84,승리
37,일반 공격(성공: 1.32) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),5.82,승리
38,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.68) / 일반 공격(성공: 3.00) / 일반 공격(성공: 3.50),5.82,승리
39,일반 공격(성공: 1.32) / 일반 공격(성공: 1.00) / 일반 공격(성공: 3.50),5.82,승리
40,일반 공격(성공: 1.31) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),5.81,승리
41,일반 공격(성공: 1.31) / 일반 공격(성공: 1.00) / 일반 공격(성공: 3.50),5.81,승리
42,일반 공격(실패: 0.30) / 일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),5.8,승리
43,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.72) / 일반 공격(성공: 1.00) / 일반 공격(성공: 5.50),5.78,승리
44,일반 공격(성공: 1.26) / 일반 공격(성공: 1.00) / 일반 공격(성공: 3.50),5.76,승리
45,일반 공격(성공: 1.23) / 일반 공격(성공: 1.00) / 일반 공격(성공: 3.50),5.73,승리
46,일반 공격(성공: 3.21) / 일반 공격(성공: -1.00) / 일반 공격(성공: 3.50),5.71,승리
47,일반 공격(성공: 3.19) / 일반 공격(성공: -1.00) / 일반 공격(성공: 3.50),5.69,승리
48,일반 공격(성공: 1.09) / 일반 공격(성공: 1.00) / 일반 공격(성공: 3.50),5.59,승리
49,일반 공격(성공: 1.08) / 일반 공격(성공: 1.00) / 일반 공격(성공: 3.50),5.58,승리
50,일반 공격(성공: 1.07) / 일반 공격(성공: 1.00) / 일반 공격(성공: 3.50),5.57,승리
51,일반 공격(성공: 1.01) / 일반 공격(성공: -1.00) / 일반 공격(성공: 5.50),5.51,승리
52,일반 공격(성공: 1.00) / 일반 공격(성공: 1.00) / 일반 공격(성공: 3.50),5.5,승리
