episode,miss,1피,2피,총보상
100,1.0000,0.0000,0.0000,-48.60
200,0.9900,0.0000,0.0100,-47.80
300,1.0000,0.0000,0.0000,-49.30
400,0.9800,0.0200,0.0000,-43.50
500,0.9500,0.0400,0.0100,-39.10
600,0.9500,0.0400,0.0100,-40.50
700,1.0000,0.0000,0.0000,-49.30
800,1.0000,0.0000,0.0000,-49.30
900,0.9900,0.0100,0.0000,-47.80
1000,0.9900,0.0100,0.0000,-48.50
1100,1.0000,0.0000,0.0000,-50.00
1200,1.0000,0.0000,0.0000,-50.00
1300,1.0000,0.0000,0.0000,-50.00
1400,1.0000,0.0000,0.0000,-50.00
1500,0.9800,0.0100,0.0100,-45.00
1600,0.9800,0.0100,0.0100,-46.30
1700,1.0000,0.0000,0.0000,-48.60
1800,0.9600,0.0300,0.0100,-44.00
1900,1.0000,0.0000,0.0000,-50.00
2000,1.0000,0.0000,0.0000,-47.90
2100,0.9500,0.0300,0.0200,-38.40
2200,1.0000,0.0000,0.0000,-49.30
2300,0.9700,0.0100,0.0200,-42.80
2400,0.9900,0.0100,0.0000,-48.50
2500,0.9800,0.0200,0.0000,-47.00
2600,0.9700,0.0200,0.0100,-42.80
2700,0.9600,0.0400,0.0000,-42.60
2800,0.9600,0.0300,0.0100,-42.60
2900,0.9900,0.0100,0.0000,-47.10
3000,0.9800,0.0200,0.0000,-44.90
3100,0.9400,0.0500,0.0100,-38.30
3200,0.9300,0.0600,0.0100,-36.70
3300,0.9900,0.0100,0.0000,-47.80
3400,0.9200,0.0700,0.0100,-37.30
3500,0.9600,0.0400,0.0000,-43.30
3600,0.9700,0.0200,0.0100,-42.10
3700,0.9600,0.0400,0.0000,-43.30
3800,0.9600,0.0300,0.0100,-42.60
3900,0.9400,0.0500,0.0100,-36.20
4000,0.9600,0.0400,0.0000,-43.30
4100,0.9800,0.0200,0.0000,-45.60
4200,0.9500,0.0400,0.0100,-41.80
4300,0.9300,0.0400,0.0300,-33.40
4400,0.9800,0.0100,0.0100,-42.20
4500,0.9200,0.0700,0.0100,-33.20
4600,0.9500,0.0400,0.0100,-37.70
4700,0.9100,0.0700,0.0200,-31.10
4800,0.9400,0.0500,0.0100,-36.10
4900,0.9300,0.0600,0.0100,-34.60
5000,0.9200,0.0700,0.0100,-36.60
5100,0.9200,0.0500,0.0300,-27.10
5200,0.9500,0.0500,0.0000,-41.10
5300,0.9000,0.0700,0.0300,-26.20
5400,0.8800,0.1000,0.0200,-26.50
5500,0.8900,0.1100,0.0000,-31.40
5600,0.9100,0.0600,0.0300,-30.40
5700,0.8500,0.1000,0.0500,-14.60
5800,0.8800,0.1000,0.0200,-27.80
5900,0.8700,0.1000,0.0300,-20.90
6000,0.8300,0.1300,0.0400,-19.70
6100,0.8600,0.0900,0.0500,-24.10
6200,0.8200,0.1500,0.0300,-16.90
6300,0.8100,0.1600,0.0300,-9.10
6400,0.8800,0.1100,0.0100,-25.70
6500,0.8200,0.1500,0.0300,-13.40
6600,0.7700,0.1900,0.0400,-0.40
6700,0.8600,0.1300,0.0100,-22.10
6800,0.7400,0.1900,0.0700,6.20
6900,0.7600,0.2000,0.0400,-6.50
7000,0.8000,0.1800,0.0200,-6.80
7100,0.7500,0.1700,0.0800,3.90
7200,0.7600,0.1500,0.0900,12.80
7300,0.6400,0.3100,0.0500,24.60
7400,0.7000,0.2300,0.0700,19.00
7500,0.6600,0.2500,0.0900,24.90
7600,0.5900,0.3300,0.0800,26.00
7700,0.7100,0.2500,0.0400,11.00
7800,0.6500,0.2800,0.0700,23.70
7900,0.5800,0.3200,0.1000,32.90
8000,0.6100,0.3100,0.0800,31.90
8100,0.5200,0.3600,0.1200,50.70
8200,0.5600,0.3400,0.1000,35.30
8300,0.6000,0.2600,0.1400,38.00
8400,0.5100,0.4100,0.0800,51.10
8500,0.4900,0.3700,0.1400,36.10
8600,0.5300,0.3200,0.1500,51.80
8700,0.6100,0.2900,0.1000,33.80
8800,0.5600,0.3600,0.0800,41.00
8900,0.5200,0.4200,0.0600,52.20
9000,0.5100,0.3700,0.1200,43.30
9100,0.4400,0.5000,0.0600,59.30
9200,0.5000,0.3700,0.1300,52.30
9300,0.4600,0.4200,0.1200,54.30
9400,0.4300,0.4600,0.1100,63.70
9500,0.6100,0.2800,0.1100,40.90
9600,0.4500,0.4900,0.0600,54.50
9700,0.5100,0.3400,0.1500,54.20
9800,0.4900,0.3800,0.1300,57.20
9900,0.3700,0.5400,0.0900,61.10
10000,0.5000,0.3800,0.1200,51.90
